Experiment_ID,Model,Model_Full_Name,Transfer_Learning_Mode,Initialization,Train_Dataset_A,Train_Dataset_B,Train_Combination,Test_Dataset_C,Train_A_Path,Train_B_Path,Test_C_Path,Train_Split,Validation_Split,Test_Split,Experiment_Description,Localization_F1,No_Damage_F1,Minor_Damage_F1,Major_Damage_F1,Destroyed_F1,Damage_Macro_F1,Overall_Score,Run_Status,Notes
HRTBDA_COMBO_0001,HRTBDA,High Resolution Transformer Building Damage Assessment,No Transfer Learning,Random initialization,EARTHQUAKE-TURKEY,HURRICANE-DELTA,EARTHQUAKE-TURKEY + HURRICANE-DELTA,EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,train,val,test,"Train HRTBDA from scratch on EARTHQUAKE-TURKEY + HURRICANE-DELTA, test on EARTHQUAKE-TURKEY",,,,,,,,Not started,
HRTBDA_COMBO_0002,HRTBDA,High Resolution Transformer Building Damage Assessment,xBD Transfer Learning,xBD pretrained HRTBDA checkpoint,EARTHQUAKE-TURKEY,HURRICANE-DELTA,EARTHQUAKE-TURKEY + HURRICANE-DELTA,EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,train,val,test,"Initialize HRTBDA with xBD pretrained weights, fine-tune on EARTHQUAKE-TURKEY + HURRICANE-DELTA, test on EARTHQUAKE-TURKEY",,,,,,,,Not started,
HRTBDA_COMBO_0003,HRTBDA,High Resolution Transformer Building Damage Assessment,No Transfer Learning,Random initialization,EARTHQUAKE-TURKEY,HURRICANE-DELTA,EARTHQUAKE-TURKEY + HURRICANE-DELTA,HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,train,val,test,"Train HRTBDA from scratch on EARTHQUAKE-TURKEY + HURRICANE-DELTA, test on HURRICANE-DELTA",,,,,,,,Not started,
HRTBDA_COMBO_0004,HRTBDA,High Resolution Transformer Building Damage Assessment,xBD Transfer Learning,xBD pretrained HRTBDA checkpoint,EARTHQUAKE-TURKEY,HURRICANE-DELTA,EARTHQUAKE-TURKEY + HURRICANE-DELTA,HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,train,val,test,"Initialize HRTBDA with xBD pretrained weights, fine-tune on EARTHQUAKE-TURKEY + HURRICANE-DELTA, test on HURRICANE-DELTA",,,,,,,,Not started,
HRTBDA_COMBO_0005,HRTBDA,High Resolution Transformer Building Damage Assessment,No Transfer Learning,Random initialization,EARTHQUAKE-TURKEY,HURRICANE-DELTA,EARTHQUAKE-TURKEY + HURRICANE-DELTA,HURRICANE-IAN,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-IAN,train,val,test,"Train HRTBDA from scratch on EARTHQUAKE-TURKEY + HURRICANE-DELTA, test on HURRICANE-IAN",,,,,,,,Not started,
HRTBDA_COMBO_0006,HRTBDA,High Resolution Transformer Building Damage Assessment,xBD Transfer Learning,xBD pretrained HRTBDA checkpoint,EARTHQUAKE-TURKEY,HURRICANE-DELTA,EARTHQUAKE-TURKEY + HURRICANE-DELTA,HURRICANE-IAN,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-IAN,train,val,test,"Initialize HRTBDA with xBD pretrained weights, fine-tune on EARTHQUAKE-TURKEY + HURRICANE-DELTA, test on HURRICANE-IAN",,,,,,,,Not started,
HRTBDA_COMBO_0007,HRTBDA,High Resolution Transformer Building Damage Assessment,No Transfer Learning,Random initialization,EARTHQUAKE-TURKEY,HURRICANE-DELTA,EARTHQUAKE-TURKEY + HURRICANE-DELTA,HURRICANE-LAURA,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-LAURA,train,val,test,"Train HRTBDA from scratch on EARTHQUAKE-TURKEY + HURRICANE-DELTA, test on HURRICANE-LAURA",,,,,,,,Not started,
HRTBDA_COMBO_0008,HRTBDA,High Resolution Transformer Building Damage Assessment,xBD Transfer Learning,xBD pretrained HRTBDA checkpoint,EARTHQUAKE-TURKEY,HURRICANE-DELTA,EARTHQUAKE-TURKEY + HURRICANE-DELTA,HURRICANE-LAURA,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-LAURA,train,val,test,"Initialize HRTBDA with xBD pretrained weights, fine-tune on EARTHQUAKE-TURKEY + HURRICANE-DELTA, test on HURRICANE-LAURA",,,,,,,,Not started,
HRTBDA_COMBO_0009,HRTBDA,High Resolution Transformer Building Damage Assessment,No Transfer Learning,Random initialization,EARTHQUAKE-TURKEY,HURRICANE-DELTA,EARTHQUAKE-TURKEY + HURRICANE-DELTA,MOUNT-SEMERU-ERUPTION,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/MOUNT-SEMERU-ERUPTION,train,val,test,"Train HRTBDA from scratch on EARTHQUAKE-TURKEY + HURRICANE-DELTA, test on MOUNT-SEMERU-ERUPTION",,,,,,,,Not started,
HRTBDA_COMBO_0010,HRTBDA,High Resolution Transformer Building Damage Assessment,xBD Transfer Learning,xBD pretrained HRTBDA checkpoint,EARTHQUAKE-TURKEY,HURRICANE-DELTA,EARTHQUAKE-TURKEY + HURRICANE-DELTA,MOUNT-SEMERU-ERUPTION,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/MOUNT-SEMERU-ERUPTION,train,val,test,"Initialize HRTBDA with xBD pretrained weights, fine-tune on EARTHQUAKE-TURKEY + HURRICANE-DELTA, test on MOUNT-SEMERU-ERUPTION",,,,,,,,Not started,
