checkpoint	model	seed	criterion	extra_criterion
Dec30_15_34_resnet34_unet_v2_512_fold0_fp16_pseudo_crops.pth	resnet34_unet_v2	330	weighted_ce	none
Dec30_15_34_resnet101_fpncatv2_256_512_fold0_fp16_pseudo_crops.pth	resnet101_fpncatv2_256	332	weighted_ce	none
Dec22_22_24_seresnext50_unet_v2_512_fold1_fp16_crops.pth	seresnext50_unet_v2	13	weighted_ce	focal
Dec31_02_09_resnet34_unet_v2_512_fold1_fp16_pseudo_crops.pth	resnet34_unet_v2	331	weighted_ce	none
Dec31_03_55_densenet201_fpncatv2_256_512_fold1_fp16_pseudo_crops.pth	densenet201_fpncatv2_256	1331	weighted_ce	none
Dec17_19_12_inceptionv4_fpncatv2_256_512_fold2_fp16_crops.pth	inceptionv4_fpncatv2_256	333	weighted_ce	none
Dec27_14_08_densenet169_unet_v2_512_fold2_fp16_crops.pth	densenet169_unet_v2	303	ohem_ce	none
Dec31_12_45_resnet34_unet_v2_512_fold2_fp16_pseudo_crops.pth	resnet34_unet_v2	332	weighted_ce	none
Dec15_23_24_resnet34_unet_v2_512_fold3_crops.pth	resnet34_unet_v2	50	weighted_ce	none
Dec21_11_50_seresnext50_unet_v2_512_fold3_fp16_crops.pth	seresnext50_unet_v2	3	weighted_ce	focal
Dec31_18_17_efficientb4_fpncatv2_256_512_fold3_fp16_pseudo_crops.pth	efficientb4_fpncatv2_256	3334	weighted_ce	none
Dec19_06_18_resnet34_unet_v2_512_fold4_fp16_crops.pth	resnet34_unet_v2	334	weighted_ce	none
Dec27_14_37_resnet101_unet_v2_512_fold4_fp16_crops.pth	resnet101_unet_v2	133	weighted_ce	focal
